date,comment_count,pos_count,neg_count,neu_count,mean_conf,pos_ratio,neg_ratio,net_sentiment
2026-03-03,2928,96,331,2501,0.946153005464481,0.0328,0.113,-0.0803
2026-03-04,3008,149,301,2558,0.951253823138298,0.0495,0.1001,-0.0505
2026-03-05,1209,104,100,1005,0.9560685690653432,0.086,0.0827,0.0033
2026-03-06,1181,66,111,1004,0.9471999153259949,0.0559,0.094,-0.0381
2026-03-07,522,26,52,444,0.965883908045977,0.0498,0.0996,-0.0498
2026-03-08,515,16,56,443,0.9644766990291262,0.0311,0.1087,-0.0777
2026-03-09,2323,62,259,2002,0.9518414119672836,0.0267,0.1115,-0.0848
2026-03-10,1326,114,96,1116,0.949824132730015,0.086,0.0724,0.0136
2026-03-11,1151,78,87,986,0.9526735013032146,0.0678,0.0756,-0.0078
2026-03-12,972,56,87,829,0.9528986625514403,0.0576,0.0895,-0.0319
2026-03-13,1172,95,120,957,0.9466383105802048,0.0811,0.1024,-0.0213
2026-03-14,396,24,29,343,0.961094696969697,0.0606,0.0732,-0.0126
2026-03-15,436,31,45,360,0.9596327981651376,0.0711,0.1032,-0.0321
2026-03-16,1174,135,75,964,0.952816524701874,0.115,0.0639,0.0511
2026-03-17,1129,113,115,901,0.9395798937112488,0.1001,0.1019,-0.0018
2026-03-18,1311,107,127,1077,0.9499220442410374,0.0816,0.0969,-0.0153
2026-03-19,1512,105,164,1243,0.9477633597883598,0.0694,0.1085,-0.039
2026-03-20,888,65,86,737,0.9521829954954955,0.0732,0.0968,-0.0236
2026-03-21,582,23,48,511,0.963004295532646,0.0395,0.0825,-0.043
2026-03-22,550,20,44,486,0.9691814545454546,0.0364,0.08,-0.0436
2026-03-23,2104,101,167,1836,0.953453897338403,0.048,0.0794,-0.0314
2026-03-24,1458,109,129,1220,0.9507720850480109,0.0748,0.0885,-0.0137
2026-03-25,1561,145,165,1251,0.9411449071108263,0.0929,0.1057,-0.0128
2026-03-26,2325,135,306,1884,0.9410289462365591,0.0581,0.1316,-0.0735
2026-03-27,2294,122,246,1926,0.944076939843069,0.0532,0.1072,-0.0541
2026-03-28,648,35,58,555,0.9550641975308642,0.054,0.0895,-0.0355
2026-03-29,607,37,43,527,0.9557118616144976,0.061,0.0708,-0.0099
2026-03-30,1791,103,205,1483,0.9491805695142379,0.0575,0.1145,-0.057
2026-03-31,3524,130,482,2912,0.9422411180476731,0.0369,0.1368,-0.0999
2026-04-01,1951,141,183,1627,0.949246796514608,0.0723,0.0938,-0.0215
2026-04-02,2252,71,213,1968,0.9553115896980462,0.0315,0.0946,-0.0631
2026-04-03,1052,81,89,882,0.9486211977186312,0.077,0.0846,-0.0076
2026-04-04,311,15,33,263,0.9575466237942123,0.0482,0.1061,-0.0579
2026-04-05,519,40,45,434,0.9481350674373796,0.0771,0.0867,-0.0096
2026-04-06,1073,96,99,878,0.9383742777260018,0.0895,0.0923,-0.0028
2026-04-07,991,88,101,802,0.943796770938446,0.0888,0.1019,-0.0131
2026-04-08,1862,153,145,1564,0.9432699785177229,0.0822,0.0779,0.0043
2026-04-09,1371,84,135,1152,0.9492906637490882,0.0613,0.0985,-0.0372
2026-04-10,742,79,61,602,0.9454512129380054,0.1065,0.0822,0.0243
2026-04-11,211,11,23,177,0.9586976303317536,0.0521,0.109,-0.0569
2026-04-12,756,23,80,653,0.9522824074074074,0.0304,0.1058,-0.0754
2026-04-13,1198,88,112,998,0.9407708681135225,0.0735,0.0935,-0.02
2026-04-14,1586,178,100,1308,0.9468670239596468,0.1122,0.0631,0.0492
2026-04-15,1382,103,135,1144,0.9438184515195369,0.0745,0.0977,-0.0232
2026-04-16,991,101,100,790,0.9376171543895055,0.1019,0.1009,0.001
2026-04-17,1150,81,100,969,0.9425178260869566,0.0704,0.087,-0.0165
2026-04-18,441,23,39,379,0.9547995464852608,0.0522,0.0884,-0.0363
2026-04-19,510,28,39,443,0.958731568627451,0.0549,0.0765,-0.0216
2026-04-20,1248,95,112,1041,0.947651923076923,0.0761,0.0897,-0.0136
2026-04-21,1530,143,134,1253,0.9481714379084967,0.0935,0.0876,0.0059
2026-04-22,1784,216,193,1375,0.932935201793722,0.1211,0.1082,0.0129
2026-04-23,3130,389,521,2220,0.9202013418530351,0.1243,0.1665,-0.0422
2026-04-24,1243,167,176,900,0.9356697506033789,0.1344,0.1416,-0.0072
2026-04-25,307,53,36,218,0.9339325732899023,0.1726,0.1173,0.0554
2026-04-26,338,25,47,266,0.948171301775148,0.074,0.1391,-0.0651
2026-04-27,1490,138,152,1200,0.9430678523489933,0.0926,0.102,-0.0094
2026-04-28,1346,85,178,1083,0.9432454680534919,0.0632,0.1322,-0.0691
2026-04-29,1233,87,147,999,0.9430758313057583,0.0706,0.1192,-0.0487
2026-04-30,840,72,93,675,0.9414047619047619,0.0857,0.1107,-0.025
2026-05-01,254,21,48,185,0.942892125984252,0.0827,0.189,-0.1063
2026-05-02,218,14,29,175,0.9315623853211009,0.0642,0.133,-0.0688
2026-05-03,190,21,25,144,0.9669500000000001,0.1105,0.1316,-0.0211
2026-05-04,2067,161,164,1742,0.9469733913884857,0.0779,0.0793,-0.0015
2026-05-05,652,54,58,540,0.9496703987730062,0.0828,0.089,-0.0061
2026-05-06,2453,173,202,2078,0.9465742356298411,0.0705,0.0823,-0.0118
2026-05-07,2030,108,178,1744,0.9497179802955665,0.0532,0.0877,-0.0345
2026-05-08,2094,158,170,1766,0.9431004775549188,0.0755,0.0812,-0.0057
2026-05-09,654,66,42,546,0.9505100917431193,0.1009,0.0642,0.0367
2026-05-10,577,41,53,483,0.9532740034662044,0.0711,0.0919,-0.0208
2026-05-11,3661,232,287,3142,0.949770773012838,0.0634,0.0784,-0.015
2026-05-12,4955,231,453,4271,0.9491409283551968,0.0466,0.0914,-0.0448
2026-05-13,5477,348,544,4585,0.9463348548475443,0.0635,0.0993,-0.0358
2026-05-14,2917,169,289,2459,0.9484197120329105,0.0579,0.0991,-0.0411
2026-05-15,5269,265,606,4398,0.9460668627823116,0.0503,0.115,-0.0647
2026-05-16,1065,52,124,889,0.9469142723004695,0.0488,0.1164,-0.0676
2026-05-17,993,86,109,798,0.9430756294058409,0.0866,0.1098,-0.0232
2026-05-18,3018,155,364,2499,0.9451812458581843,0.0514,0.1206,-0.0693
2026-05-19,3870,189,498,3183,0.9444445219638243,0.0488,0.1287,-0.0798
2026-05-20,3610,294,590,2726,0.9370339889196676,0.0814,0.1634,-0.082
2026-05-21,3380,250,353,2777,0.9472929585798816,0.074,0.1044,-0.0305
2026-05-22,1751,118,156,1477,0.9459619074814392,0.0674,0.0891,-0.0217
2026-05-23,486,30,42,414,0.9551259259259259,0.0617,0.0864,-0.0247
2026-05-24,520,36,34,450,0.9577184615384615,0.0692,0.0654,0.0038
2026-05-25,718,76,45,597,0.9489849582172702,0.1058,0.0627,0.0432
2026-05-26,2506,221,175,2110,0.9492214285714285,0.0882,0.0698,0.0184
2026-05-27,5087,362,362,4363,0.9511892471004522,0.0712,0.0712,0.0
2026-05-28,4536,236,415,3885,0.9460993827160494,0.052,0.0915,-0.0395
2026-05-29,3147,218,283,2646,0.9490185891325073,0.0693,0.0899,-0.0207
2026-05-30,584,72,55,457,0.9428799657534246,0.1233,0.0942,0.0291
2026-05-31,714,71,67,576,0.9512156862745098,0.0994,0.0938,0.0056
2026-06-01,2645,206,337,2102,0.94351606805293,0.0779,0.1274,-0.0495
2026-06-02,3022,187,335,2500,0.9476752812706816,0.0619,0.1109,-0.049
2026-06-03,984,92,90,802,0.9502358739837399,0.0935,0.0915,0.002
